       	       	exactly                            	          	      	       	           
2,3-   	       	notating                           	smallest  	      	       	           
free   	       	JI                                 	symbol    	      	Scala  	Scala      
class  	       	symbol                             	subset    	N2D3P9	archive	archive    
name   	N2D3P9 	classes                            	indices   	rank  	rank   	occurrences
253/1  	161.639	  ,,/|                             	6         	153   	604.5  	1          
125/77 	163.387	                                   	          	154   	113    	10         
203/1  	163.528	                                   	          	155   	-      	0          
49/19  	163.787	                                   	          	156   	102.5  	11         
625/49 	165.413	                                   	          	157   	94.5   	12         
23/17  	166.537	                                   	          	158   	76     	21         
125/17 	167.245	                                   	          	159   	-      	0          
169/25 	169.522	                                   	          	160   	-      	0          
323/1  	170.472	                                   	          	161   	604.5  	1          
43/5   	171.204	                                   	          	162   	164    	6          
29/11  	171.315	                                   	          	163   	90     	13         
35/23  	171.435	                                   	          	165   	164    	6          
115/7  	171.435	                                   	          	165   	604.5  	1          
161/5  	171.435	                                   	          	165   	252.5  	3          
65/17  	173.935	                                   	          	168   	217.5  	4          
85/13  	173.935	                                   	          	168   	329    	2          
221/5  	173.935	                                   	          	168   	329    	2          
625/11 	175.058	                                   	          	170   	-      	0          
665/1  	175.486	                                   	          	171   	-      	0          
3125/7 	177.228	                                   	          	172   	252.5  	3          
37/7   	177.463	                                   	          	173   	123.5  	9          
1001/1 	180.736	   `(|(                            	6         	174   	147    	7          
575/1  	183.681	                                   	          	175   	-      	0          
55/19  	183.843	                                   	          	177   	123.5  	9          
95/11  	183.843	                                   	          	177   	604.5  	1          
209/5  	183.843	                                   	          	177   	329    	2          
23/19  	186.130	                                   	          	179   	102.5  	11         
217/1  	186.861	                                   	          	180   	604.5  	1          
121/13 	189.343	                                   	          	181   	604.5  	1          
185/1  	190.139	                                   	          	182   	-      	0          
361/1  	190.528	                                   	          	183   	-      	0          
299/1  	191.028	                                   	          	184   	-      	0          
245/13 	191.690	                                   	          	185.5 	-      	0          
637/5  	191.690	                                   	          	185.5 	604.5  	1          
343/11 	192.144	                                   	          	187   	-      	0          
59/1   	193.389	                                   	          	188   	83     	15         
2401/5 	194.525	                                   	          	189   	134.5  	8          
133/25 	194.985	                                   	          	190   	-      	0          
31/11  	195.759	    ,|(    `~~|                    	6, 6      	191   	49     	41         
833/1  	196.681	                                   	          	192   	-      	0          
77/65  	200.818	   ``|                             	6         	194   	217.5  	4          
91/55  	200.818	                                   	          	194   	604.5  	1          
143/35 	200.818	                                   	          	194   	186.5  	5          
121/49 	201.293	                                   	          	196   	134.5  	8          
29/13  	202.463	                                   	          	197   	102.5  	11         
1331/1 	203.347	                                   	          	198   	186.5  	5          
47/5   	204.537	                                   	          	199   	134.5  	8          
2275/1 	205.382	                                   	          	200   	-      	0          
2695/1 	205.868	                                   	          	201   	329    	2          
77/17  	206.046	                                   	          	203   	604.5  	1          
119/11 	206.046	                                   	          	203   	-      	0          
187/7  	206.046	                                   	          	203   	329    	2          
61/1   	206.722	                                   	          	205   	113    	10         
8575/1 	208.420	  ,')|(                            	6         	206   	123.5  	9          
125/19 	208.912	                                   	          	207   	-      	0          
37/25  	211.265	                                   	          	208   	217.5  	4          
1183/1 	213.597	                                   	          	209   	604.5  	1          
275/13 	215.162	                                   	          	210.5 	-      	0          
325/11 	215.162	  ,,/|)    ``(|\                   	6, 6      	210.5 	-      	0          
605/7  	215.671	                                   	          	212.5 	-      	0          
847/5  	215.671	                                   	          	212.5 	604.5  	1          
65/19  	217.269	                                   	          	215   	329    	2          
95/13  	217.269	                                   	          	215   	604.5  	1          
247/5  	217.269	                                   	          	215   	329    	2          
41/7   	217.907	                                   	          	217   	123.5  	9          
85/49  	218.534	                                   	          	218   	329    	2          
935/1  	220.764	                                   	          	219   	604.5  	1          
169/11 	223.769	                                   	          	220   	-      	0          
289/5  	227.454	                                   	          	221   	-      	0          
125/91 	228.202	                                   	          	222   	-      	0          
275/49 	228.742	                                   	          	223.5 	102.5  	11         
539/25 	228.742	                                   	          	223.5 	-      	0          
3025/1 	231.076	                                   	          	225   	-      	0          
31/13  	231.352	                                   	          	226   	123.5  	9          
205/1  	233.472	                                   	          	227   	-      	0          
175/17 	234.144	                                   	          	228.5 	-      	0          
425/7  	234.144	                                   	          	228.5 	-      	0          
169/35 	237.330	                                   	          	230   	329    	2          
143/125	239.069	                                   	          	231   	-      	0          
43/7   	239.685	                                   	          	232   	147    	7          
49/23  	240.009	                                   	          	233   	186.5  	5          
91/17  	243.509	                                   	          	235   	-      	0          
